

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      2.92899417E-01      0.00000000E+00
       1      2.57737168E-01      2.87553400E-01
       2      2.38657940E-01      2.55060667E-01
       3      2.25443979E-01      2.36873685E-01
       4      2.15311248E-01      2.24105873E-01
       5      2.07086840E-01      2.14240852E-01
       6      2.00163092E-01      2.06194932E-01
       7      1.94183675E-01      1.99398691E-01
       8      1.88921458E-01      1.93514915E-01
       9      1.84222660E-01      1.88327097E-01
      10      1.79978284E-01      1.83687828E-01
      11      1.76108237E-01      1.79492166E-01
      12      1.72551929E-01      1.75662721E-01
      13      1.69262411E-01      1.72140777E-01
      14      1.66202557E-01      1.68880719E-01
      15      1.63342506E-01      1.65846404E-01
      16      1.60657875E-01      1.63008705E-01
      17      1.58128501E-01      1.60343802E-01
      18      1.55737514E-01      1.57831969E-01
      19      1.53470660E-01      1.55456680E-01
      20      1.51315786E-01      1.53203960E-01
      21      1.49262445E-01      1.51061878E-01
      22      1.47301592E-01      1.49020170E-01
      23      1.45425343E-01      1.47069941E-01
      24      1.43626783E-01      1.45203435E-01
      25      1.41899817E-01      1.43413842E-01
      26      1.40239042E-01      1.41695156E-01
      27      1.38639646E-01      1.40042051E-01
      28      1.37097328E-01      1.38449780E-01
      29      1.35608223E-01      1.36914098E-01
      30      1.34168849E-01      1.35431189E-01
      31      1.32776059E-01      1.33997615E-01
      32      1.31426992E-01      1.32610263E-01
      33      1.30119050E-01      1.31266308E-01
      34      1.28849856E-01      1.29963179E-01
      35      1.27617239E-01      1.28698526E-01
      36      1.26419203E-01      1.27470198E-01
      37      1.25253914E-01      1.26276222E-01
      38      1.24119682E-01      1.25114782E-01
      39      1.23014943E-01      1.23984203E-01
      40      1.21938251E-01      1.22882935E-01
      41      1.20888264E-01      1.21809548E-01
      42      1.19863735E-01      1.20762709E-01
      43      1.18863501E-01      1.19741182E-01
      44      1.17886482E-01      1.18743818E-01
      45      1.16931664E-01      1.17769540E-01
      46      1.15998103E-01      1.16817347E-01
      47      1.15084911E-01      1.15886300E-01
      48      1.14191256E-01      1.14975518E-01
      49      1.13316358E-01      1.14084177E-01
      50      1.12459482E-01      1.13211501E-01
      51      1.11619934E-01      1.12356760E-01
      52      1.10797063E-01      1.11519268E-01
      53      1.09990253E-01      1.10698375E-01
      54      1.09198920E-01      1.09893471E-01
      55      1.08422515E-01      1.09103976E-01
      56      1.07660515E-01      1.08329343E-01
      57      1.06912425E-01      1.07569055E-01
      58      1.06177777E-01      1.06822619E-01
      59      1.05456124E-01      1.06089569E-01
      60      1.04747043E-01      1.05369462E-01
      61      1.04050130E-01      1.04661877E-01
      62      1.03365003E-01      1.03966413E-01
      63      1.02691294E-01      1.03282689E-01
      64      1.02028655E-01      1.02610340E-01
      65      1.01376753E-01      1.01949020E-01
      66      1.00735269E-01      1.01298397E-01
      67      1.00103901E-01      1.00658156E-01
      68      9.94823562E-02      1.00027994E-01
      69      9.88703573E-02      9.94076211E-02
      70      9.82676375E-02      9.87967611E-02
      71      9.76739413E-02      9.81951487E-02
      72      9.70890238E-02      9.76025296E-02
      73      9.65126498E-02      9.70186602E-02
      74      9.59445938E-02      9.64433066E-02
      75      9.53846389E-02      9.58762441E-02
      76      9.48325768E-02      9.53172571E-02
      77      9.42882071E-02      9.47661382E-02
      78      9.37513371E-02      9.42226880E-02
      79      9.32217811E-02      9.36867145E-02
      80      9.26993605E-02      9.31580331E-02
      81      9.21839030E-02      9.26364658E-02
      82      9.16752426E-02      9.21218412E-02
      83      9.11732191E-02      9.16139940E-02
      84      9.06776781E-02      9.11127647E-02
      85      9.01884704E-02      9.06179995E-02
      86      8.97054520E-02      9.01295499E-02
      87      8.92284836E-02      8.96472724E-02
      88      8.87574307E-02      8.91710284E-02
      89      8.82921634E-02      8.87006840E-02
      90      8.78325558E-02      8.82361096E-02
      91      8.73784860E-02      8.77771799E-02
      92      8.69298364E-02      8.73237736E-02
      93      8.64864927E-02      8.68757734E-02
      94      8.60483444E-02      8.64330656E-02

  WARNING: Possible accumulation of round-off errors.
      95      8.56152843E-02      8.59955400E-02  i
      96      8.51872086E-02      8.55630898E-02  i
      97      8.47640165E-02      8.51356117E-02  i
      98      8.43456104E-02      8.47130052E-02  i
      99      8.39318955E-02      8.42951730E-02  i
     100      8.35227796E-02      8.38820206E-02  i
     105      8.15431476E-02      8.18833380E-02  i
     110      7.96661119E-02      7.99889540E-02  i
     115      7.78827302E-02      7.81897096E-02  i
     120      7.61851704E-02      7.64775914E-02  i
     125      7.45665315E-02      7.48455463E-02  i
     130      7.30207005E-02      7.32873319E-02  i
     135      7.15422351E-02      7.17973954E-02  i
     140      7.01262678E-02      7.03707744E-02  i
     145      6.87684271E-02      6.90030155E-02  i
     150      6.74647714E-02      6.76901057E-02  i
     155      6.62117339E-02      6.64284160E-02  i
     160      6.50060763E-02      6.52146532E-02  i
     165      6.38448491E-02      6.40458199E-02  i
     170      6.27253581E-02      6.29191791E-02  i
     175      6.16451359E-02      6.18322255E-02  i
     180      6.06019167E-02      6.07826593E-02  i
