 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  F,  Z =   9,  atomic weight = 1.89984E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.85511E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  9
 #
 # Electron density: Read from file z_009.den   
 #                   Number of data points =  663
 #                   Volume integral = 9.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.89264E-19 cm**2 = 1.03298E-02 a0**2
 # 1st transport cross section = 7.14971E-24 cm**2 = 2.55321E-07 a0**2
 # 2nd transport cross section = 2.04478E-23 cm**2 = 7.30203E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.20568E-14  7.87664E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.20568E-14  7.87663E+02  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  2.20568E-14  7.87662E+02  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  2.20568E-14  7.87661E+02  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  2.20567E-14  7.87660E+02  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  2.20567E-14  7.87660E+02  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  2.20567E-14  7.87658E+02  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  2.20566E-14  7.87657E+02  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  2.20566E-14  7.87656E+02  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  2.20566E-14  7.87654E+02  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  2.20565E-14  7.87653E+02  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  2.20565E-14  7.87651E+02  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  2.20564E-14  7.87649E+02  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  2.20564E-14  7.87647E+02  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  2.20563E-14  7.87645E+02  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  2.20562E-14  7.87642E+02  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  2.20562E-14  7.87640E+02  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  2.20561E-14  7.87637E+02  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  2.20560E-14  7.87634E+02  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  2.20559E-14  7.87632E+02  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  2.20558E-14  7.87629E+02  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  2.20558E-14  7.87625E+02  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  2.20557E-14  7.87622E+02  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  2.20556E-14  7.87619E+02  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  2.20555E-14  7.87615E+02  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  2.20554E-14  7.87612E+02  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  2.20553E-14  7.87608E+02  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  2.20552E-14  7.87604E+02  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  2.20550E-14  7.87600E+02  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  2.20549E-14  7.87596E+02  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  2.20548E-14  7.87591E+02  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  2.20547E-14  7.87587E+02  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  2.20545E-14  7.87582E+02  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  2.20544E-14  7.87577E+02  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  2.20543E-14  7.87573E+02  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  2.20541E-14  7.87568E+02  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  2.20540E-14  7.87563E+02  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  2.20538E-14  7.87557E+02  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  2.20522E-14  7.87497E+02  0.00000E+00  1.0E-07
  1.500E-03  1.71347E-10  2.20501E-14  7.87424E+02  0.00000E+00  1.0E-07
  1.750E-03  2.33223E-10  2.20477E-14  7.87338E+02  0.00000E+00  1.0E-07
  2.000E-03  3.04617E-10  2.20449E-14  7.87238E+02  0.00000E+00  1.0E-07
  2.250E-03  3.85531E-10  2.20417E-14  7.87125E+02  0.00000E+00  1.0E-07
  2.500E-03  4.75965E-10  2.20382E-14  7.86998E+02  0.00000E+00  1.0E-07
  2.750E-03  5.75917E-10  2.20343E-14  7.86859E+02  0.00000E+00  1.0E-07
  3.000E-03  6.85389E-10  2.20300E-14  7.86706E+02  0.00000E+00  1.0E-07
  3.250E-03  8.04380E-10  2.20254E-14  7.86540E+02  0.00000E+00  1.0E-07
  3.500E-03  9.32891E-10  2.20203E-14  7.86360E+02  0.00000E+00  1.0E-07
  3.750E-03  1.07092E-09  2.20149E-14  7.86168E+02  0.00000E+00  1.0E-07
  4.000E-03  1.21847E-09  2.20092E-14  7.85962E+02  0.00000E+00  1.0E-07
