 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file z_001.den   
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.10762E-20 cm**2 = 3.95538E-04 a0**2
 # 1st transport cross section = 1.00214E-25 cm**2 = 3.57869E-09 a0**2
 # 2nd transport cross section = 2.89045E-25 cm**2 = 1.03220E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.90149E-15  6.79034E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.90148E-15  6.79032E+01  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  1.90148E-15  6.79031E+01  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  1.90148E-15  6.79030E+01  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  1.90147E-15  6.79028E+01  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  1.90147E-15  6.79027E+01  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  1.90146E-15  6.79024E+01  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  1.90146E-15  6.79022E+01  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  1.90145E-15  6.79020E+01  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  1.90144E-15  6.79017E+01  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  1.90143E-15  6.79014E+01  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  1.90142E-15  6.79010E+01  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  1.90141E-15  6.79007E+01  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  1.90140E-15  6.79003E+01  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  1.90139E-15  6.78999E+01  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  1.90138E-15  6.78995E+01  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  1.90137E-15  6.78990E+01  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  1.90135E-15  6.78986E+01  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  1.90134E-15  6.78981E+01  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  1.90132E-15  6.78975E+01  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  1.90131E-15  6.78970E+01  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  1.90129E-15  6.78964E+01  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  1.90128E-15  6.78958E+01  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  1.90126E-15  6.78952E+01  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  1.90124E-15  6.78946E+01  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  1.90122E-15  6.78939E+01  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  1.90120E-15  6.78932E+01  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  1.90118E-15  6.78925E+01  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  1.90116E-15  6.78917E+01  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  1.90114E-15  6.78910E+01  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  1.90112E-15  6.78902E+01  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  1.90110E-15  6.78894E+01  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  1.90107E-15  6.78885E+01  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  1.90105E-15  6.78876E+01  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  1.90102E-15  6.78868E+01  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  1.90100E-15  6.78858E+01  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  1.90097E-15  6.78849E+01  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  1.90094E-15  6.78839E+01  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  1.90064E-15  6.78730E+01  0.00000E+00  1.0E-07
  1.500E-03  1.71347E-10  1.90026E-15  6.78596E+01  0.00000E+00  1.0E-07
  1.750E-03  2.33223E-10  1.89982E-15  6.78438E+01  0.00000E+00  1.0E-07
  2.000E-03  3.04617E-10  1.89931E-15  6.78255E+01  0.00000E+00  1.0E-07
  2.250E-03  3.85531E-10  1.89873E-15  6.78049E+01  0.00000E+00  1.0E-07
  2.500E-03  4.75965E-10  1.89808E-15  6.77818E+01  0.00000E+00  1.0E-07
  2.750E-03  5.75917E-10  1.89737E-15  6.77563E+01  0.00000E+00  1.0E-07
  3.000E-03  6.85389E-10  1.89659E-15  6.77283E+01  0.00000E+00  1.0E-07
  3.250E-03  8.04380E-10  1.89574E-15  6.76980E+01  0.00000E+00  1.0E-07
  3.500E-03  9.32891E-10  1.89482E-15  6.76653E+01  0.00000E+00  1.0E-07
  3.750E-03  1.07092E-09  1.89384E-15  6.76301E+01  0.00000E+00  1.0E-07
  4.000E-03  1.21847E-09  1.89279E-15  6.75926E+01  0.00000E+00  1.0E-07
  4.250E-03  1.37554E-09  1.89167E-15  6.75527E+01  0.00000E+00  1.0E-07
  4.500E-03  1.54213E-09  1.89048E-15  6.75103E+01  0.00000E+00  1.0E-07
  4.750E-03  1.71823E-09  1.88923E-15  6.74657E+01  0.00000E+00  1.0E-07
  5.000E-03  1.90386E-09  1.88791E-15  6.74186E+01  0.00000E+00  1.0E-07
  5.250E-03  2.09900E-09  1.88653E-15  6.73692E+01  0.00000E+00  1.0E-07
  5.500E-03  2.30367E-09  1.88508E-15  6.73174E+01  0.00000E+00  1.0E-07
  5.750E-03  2.51785E-09  1.88356E-15  6.72633E+01  0.00000E+00  1.0E-07
  6.000E-03  2.74156E-09  1.88198E-15  6.72068E+01  0.00000E+00  1.0E-07
  6.250E-03  2.97478E-09  1.88034E-15  6.71480E+01  0.00000E+00  1.0E-07
  6.500E-03  3.21752E-09  1.87862E-15  6.70869E+01  0.00000E+00  1.0E-07
  6.750E-03  3.46978E-09  1.87685E-15  6.70234E+01  0.00000E+00  1.0E-07
  7.000E-03  3.73156E-09  1.87501E-15  6.69577E+01  0.00000E+00  1.0E-07
  7.250E-03  4.00286E-09  1.87310E-15  6.68896E+01  0.00000E+00  1.0E-07
  7.500E-03  4.28368E-09  1.87113E-15  6.68193E+01  0.00000E+00  1.0E-07
  7.750E-03  4.57402E-09  1.86910E-15  6.67467E+01  0.00000E+00  1.0E-07
  8.000E-03  4.87388E-09  1.86700E-15  6.66718E+01  0.00000E+00  1.0E-07
  8.250E-03  5.18326E-09  1.86484E-15  6.65947E+01  0.00000E+00  1.0E-07
  8.500E-03  5.50215E-09  1.86262E-15  6.65153E+01  0.00000E+00  1.0E-07
  8.750E-03  5.83057E-09  1.86033E-15  6.64337E+01  0.00000E+00  1.0E-07
  9.000E-03  6.16850E-09  1.85799E-15  6.63499E+01  0.00000E+00  1.0E-07
  9.250E-03  6.51596E-09  1.85558E-15  6.62638E+01  0.00000E+00  1.0E-07
  9.500E-03  6.87293E-09  1.85311E-15  6.61756E+01  0.00000E+00  1.0E-07
  9.750E-03  7.23942E-09  1.85057E-15  6.60852E+01  0.00000E+00  1.0E-07
  1.000E-02  7.61544E-09  1.84798E-15  6.59926E+01  0.00000E+00  1.0E-07
  1.250E-02  1.18991E-08  1.81880E-15  6.49504E+01  0.00000E+00  1.0E-07
  1.500E-02  1.71347E-08  1.78399E-15  6.37075E+01  0.00000E+00  1.0E-07
  1.750E-02  2.33223E-08  1.74404E-15  6.22808E+01  0.00000E+00  1.0E-07
  2.000E-02  3.04617E-08  1.69947E-15  6.06892E+01  0.00000E+00  1.0E-07
  2.250E-02  3.85531E-08  1.65085E-15  5.89530E+01  0.00000E+00  1.0E-07
  2.500E-02  4.75965E-08  1.59877E-15  5.70932E+01  0.00000E+00  1.0E-07
  2.750E-02  5.75917E-08  1.54384E-15  5.51315E+01  0.00000E+00  1.0E-07
  3.000E-02  6.85389E-08  1.48664E-15  5.30891E+01  0.00000E+00  1.0E-07
  3.250E-02  8.04380E-08  1.42778E-15  5.09868E+01  0.00000E+00  1.0E-07
  3.500E-02  9.32891E-08  1.36779E-15  4.88446E+01  0.00000E+00  1.0E-07
  3.750E-02  1.07092E-07  1.30721E-15  4.66813E+01  0.00000E+00  1.0E-07
  4.000E-02  1.21847E-07  1.24652E-15  4.45141E+01  0.00000E+00  1.0E-07
  4.250E-02  1.37554E-07  1.18616E-15  4.23587E+01  0.00000E+00  1.0E-07
  4.500E-02  1.54213E-07  1.12653E-15  4.02291E+01  0.00000E+00  1.0E-07
  4.750E-02  1.71823E-07  1.06796E-15  3.81375E+01  0.00000E+00  1.0E-07
  5.000E-02  1.90386E-07  1.01075E-15  3.60944E+01  0.00000E+00  1.0E-07
  5.250E-02  2.09900E-07  9.55136E-16  3.41085E+01  0.00000E+00  1.0E-07
  5.500E-02  2.30367E-07  9.01327E-16  3.21870E+01  0.00000E+00  1.0E-07
  5.750E-02  2.51785E-07  8.49474E-16  3.03353E+01  0.00000E+00  1.0E-07
  6.000E-02  2.74156E-07  7.99694E-16  2.85576E+01  0.00000E+00  1.0E-07
  6.250E-02  2.97478E-07  7.52068E-16  2.68568E+01  0.00000E+00  1.0E-07
  6.500E-02  3.21752E-07  7.06643E-16  2.52347E+01  0.00000E+00  1.0E-07
  6.750E-02  3.46978E-07  6.63441E-16  2.36919E+01  0.00000E+00  1.0E-07
  7.000E-02  3.73156E-07  6.22457E-16  2.22283E+01  0.00000E+00  1.0E-07
  7.250E-02  4.00286E-07  5.83668E-16  2.08432E+01  0.00000E+00  1.0E-07
  7.500E-02  4.28368E-07  5.47033E-16  1.95349E+01  0.00000E+00  1.0E-07
  7.750E-02  4.57402E-07  5.12496E-16  1.83016E+01  0.00000E+00  1.0E-07
  8.000E-02  4.87388E-07  4.79993E-16  1.71409E+01  0.00000E+00  1.0E-07
  8.250E-02  5.18325E-07  4.49449E-16  1.60501E+01  0.00000E+00  1.0E-07
  8.500E-02  5.50215E-07  4.20785E-16  1.50265E+01  0.00000E+00  1.0E-07
  8.750E-02  5.83057E-07  3.93915E-16  1.40670E+01  0.00000E+00  1.0E-07
  9.000E-02  6.16850E-07  3.68753E-16  1.31684E+01  0.00000E+00  1.0E-07
  9.250E-02  6.51596E-07  3.45213E-16  1.23278E+01  0.00000E+00  1.0E-07
  9.500E-02  6.87293E-07  3.23204E-16  1.15418E+01  0.00000E+00  1.0E-07
  9.750E-02  7.23942E-07  3.02643E-16  1.08076E+01  0.00000E+00  1.0E-07
  1.000E-01  7.61543E-07  2.83443E-16  1.01219E+01  0.00000E+00  1.0E-07
  1.250E-01  1.18991E-06  1.49836E-16  5.35074E+00  0.00000E+00  1.0E-07
  1.500E-01  1.71347E-06  8.29661E-17  2.96277E+00  0.00000E+00  1.0E-07
  1.750E-01  2.33223E-06  4.84259E-17  1.72932E+00  0.00000E+00  1.0E-07
  2.000E-01  3.04617E-06  2.97268E-17  1.06156E+00  0.00000E+00  1.0E-07
  2.250E-01  3.85531E-06  1.90909E-17  6.81749E-01  0.00000E+00  1.0E-07
  2.500E-01  4.75964E-06  1.27527E-17  4.55407E-01  0.00000E+00  1.0E-07
  2.750E-01  5.75916E-06  8.81348E-18  3.14735E-01  0.00000E+00  1.4E-07
  3.000E-01  6.85388E-06  6.27254E-18  2.23996E-01  0.00000E+00  1.0E-07
  3.250E-01  8.04378E-06  4.57913E-18  1.63524E-01  0.00000E+00  1.1E-07
  3.500E-01  9.32888E-06  3.41769E-18  1.22048E-01  0.00000E+00  2.1E-07
  3.750E-01  1.07092E-05  2.60076E-18  9.28748E-02  0.00000E+00  1.3E-07
  4.000E-01  1.21846E-05  2.01319E-18  7.18922E-02  0.00000E+00  1.0E-07
  4.250E-01  1.37553E-05  1.58212E-18  5.64985E-02  0.00000E+00  2.7E-07
  4.500E-01  1.54212E-05  1.26025E-18  4.50042E-02  0.00000E+00  2.4E-07
  4.750E-01  1.71822E-05  1.01607E-18  3.62846E-02  0.00000E+00  1.0E-07
  5.000E-01  1.90385E-05  8.28181E-19  2.95749E-02  0.00000E+00  3.1E-07
  5.250E-01  2.09899E-05  6.81726E-19  2.43449E-02  0.00000E+00  3.5E-07
  5.500E-01  2.30365E-05  5.66227E-19  2.02203E-02  0.00000E+00  1.0E-07
  5.750E-01  2.51783E-05  4.74159E-19  1.69325E-02  0.00000E+00  3.0E-07
  6.000E-01  2.74153E-05  4.00053E-19  1.42861E-02  0.00000E+00  4.7E-07
  6.250E-01  2.97475E-05  3.39865E-19  1.21368E-02  0.00000E+00  2.3E-07
  6.500E-01  3.21749E-05  2.90575E-19  1.03766E-02  0.00000E+00  2.4E-07
  6.750E-01  3.46974E-05  2.49901E-19  8.92413E-03  0.00000E+00  5.6E-07
  7.000E-01  3.73152E-05  2.16098E-19  7.71701E-03  0.00000E+00  4.1E-07
  7.250E-01  4.00281E-05  1.87820E-19  6.70716E-03  0.00000E+00  1.2E-07
  7.500E-01  4.28362E-05  1.64018E-19  5.85720E-03  0.00000E+00  6.0E-07
  7.750E-01  4.57395E-05  1.43869E-19  5.13765E-03  0.00000E+00  5.9E-07
  8.000E-01  4.87380E-05  1.26720E-19  4.52525E-03  0.00000E+00  1.0E-07
  8.250E-01  5.18317E-05  1.12051E-19  4.00143E-03  0.00000E+00  5.8E-07
  8.500E-01  5.50205E-05  9.94445E-20  3.55123E-03  0.00000E+00  7.7E-07
  8.750E-01  5.83045E-05  8.85613E-20  3.16258E-03  0.00000E+00  2.9E-07
  9.000E-01  6.16838E-05  7.91273E-20  2.82569E-03  0.00000E+00  4.9E-07
  9.250E-01  6.51582E-05  7.09161E-20  2.53246E-03  0.00000E+00  9.0E-07
  9.500E-01  6.87277E-05  6.37428E-20  2.27630E-03  0.00000E+00  5.5E-07
  9.750E-01  7.23925E-05  5.74541E-20  2.05172E-03  0.00000E+00  3.1E-07
  1.000E+00  7.61524E-05  5.19219E-20  1.85416E-03  0.00000E+00  1.0E-07
  1.100E+00  9.21439E-05  3.54662E-20  1.26652E-03  0.00000E+00  1.0E-07
  1.200E+00  1.09658E-04  2.50430E-20  8.94300E-04  0.00000E+00  1.0E-07
  1.300E+00  1.28695E-04  1.81826E-20  6.49312E-04  0.00000E+00  1.0E-07
  1.400E+00  1.49255E-04  1.35186E-20  4.82757E-04  0.00000E+00  1.0E-07
  1.500E+00  1.71338E-04  1.02586E-20  3.66342E-04  0.00000E+00  1.0E-07
  1.600E+00  1.94942E-04  7.92471E-21  2.82997E-04  0.00000E+00  1.0E-07
  1.700E+00  2.20070E-04  6.21836E-21  2.22062E-04  0.00000E+00  1.0E-07
  1.800E+00  2.46720E-04  4.94753E-21  1.76680E-04  0.00000E+00  1.0E-07
  1.900E+00  2.74892E-04  3.98539E-21  1.42321E-04  0.00000E+00  1.0E-07
  2.000E+00  3.04586E-04  3.24617E-21  1.15923E-04  0.00000E+00  1.0E-07
  2.100E+00  3.35803E-04  2.67066E-21  9.53709E-05  0.00000E+00  1.0E-07
  2.200E+00  3.68542E-04  2.21722E-21  7.91785E-05  0.00000E+00  1.0E-07
  2.300E+00  4.02802E-04  1.85606E-21  6.62813E-05  0.00000E+00  1.0E-07
  2.400E+00  4.38585E-04  1.56554E-21  5.59063E-05  0.00000E+00  1.0E-07
  2.500E+00  4.75889E-04  1.32969E-21  4.74842E-05  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  1.13664E-21  4.05900E-05  0.00000E+00  1.0E-07
  2.700E+00  5.55063E-04  9.77379E-22  3.49028E-05  0.00000E+00  1.0E-07
