 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.36057E-08  1.87001E-10  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  4.36056E-08  1.87001E-10  3.34351E-14  1.43387E-16
  1.250E-04  1.18994E-12  4.36056E-08  1.87001E-10  4.17939E-14  1.79233E-16
  1.500E-04  1.71346E-12  4.36055E-08  1.87001E-10  5.01526E-14  2.15080E-16
  1.750E-04  2.33225E-12  4.36055E-08  1.87001E-10  5.85113E-14  2.50927E-16
  2.000E-04  3.04617E-12  4.36054E-08  1.87001E-10  6.68700E-14  2.86773E-16
  2.250E-04  3.85530E-12  4.36054E-08  1.87001E-10  7.52286E-14  3.22620E-16
  2.500E-04  4.75964E-12  4.36053E-08  1.87001E-10  8.35872E-14  3.58466E-16
  2.750E-04  5.75917E-12  4.36052E-08  1.87001E-10  9.19458E-14  3.94313E-16
  3.000E-04  6.85391E-12  4.36051E-08  1.87001E-10  1.00304E-13  4.30159E-16
  3.250E-04  8.04379E-12  4.36050E-08  1.87001E-10  1.08663E-13  4.66005E-16
  3.500E-04  9.32893E-12  4.36049E-08  1.87001E-10  1.17021E-13  5.01852E-16
  3.750E-04  1.07092E-11  4.36048E-08  1.87000E-10  1.25379E-13  5.37698E-16
  4.000E-04  1.21847E-11  4.36047E-08  1.87000E-10  1.33738E-13  5.73544E-16
  4.250E-04  1.37554E-11  4.36045E-08  1.87000E-10  1.42096E-13  6.09390E-16
  4.500E-04  1.54213E-11  4.36044E-08  1.87000E-10  1.50454E-13  6.45236E-16
  4.750E-04  1.71823E-11  4.36043E-08  1.87000E-10  1.58812E-13  6.81082E-16
  5.000E-04  1.90386E-11  4.36041E-08  1.87000E-10  1.67170E-13  7.16928E-16
  5.250E-04  2.09900E-11  4.36039E-08  1.87000E-10  1.75528E-13  7.52774E-16
  5.500E-04  2.30367E-11  4.36038E-08  1.87000E-10  1.83886E-13  7.88620E-16
  5.750E-04  2.51785E-11  4.36036E-08  1.86999E-10  1.92243E-13  8.24466E-16
  6.000E-04  2.74156E-11  4.36034E-08  1.86999E-10  2.00601E-13  8.60311E-16
  6.250E-04  2.97478E-11  4.36032E-08  1.86999E-10  2.08958E-13  8.96157E-16
  6.500E-04  3.21752E-11  4.36030E-08  1.86999E-10  2.17316E-13  9.32002E-16
  6.750E-04  3.46979E-11  4.36028E-08  1.86999E-10  2.25673E-13  9.67848E-16
  7.000E-04  3.73157E-11  4.36026E-08  1.86999E-10  2.34030E-13  1.00369E-15
