

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.95364726E-01      0.00000000E+00
       1     -1.07485686E+00     -7.42048591E-01
       2     -1.26375796E+00     -1.09853240E+00
       3     -1.39005190E+00     -1.27953411E+00
       4     -1.48505003E+00     -1.40187501E+00
       5     -1.56120287E+00     -1.49449941E+00
       6      1.51685096E+00     -1.56906848E+00
       7      1.46235587E+00      1.51011757E+00
       8      1.41466622E+00      1.45647233E+00
       9      1.37228523E+00      1.40944419E+00
      10      1.33416211E+00      1.36759280E+00
      11      1.29953052E+00      1.32990326E+00
      12      1.26781426E+00      1.29563320E+00
      13      1.23856904E+00      1.26422301E+00
      14      1.21144497E+00      1.23524023E+00
      15      1.18616158E+00      1.20834369E+00
      16      1.16249055E+00      1.18325945E+00
      17      1.14024351E+00      1.15976415E+00
      18      1.11926325E+00      1.13767335E+00
      19      1.09941717E+00      1.11683288E+00
      20      1.08059242E+00      1.09711261E+00
      21      1.06269215E+00      1.07840167E+00
      22      1.04563265E+00      1.06060487E+00
      23      1.02934103E+00      1.04363982E+00
      24      1.01375350E+00      1.02743477E+00
      25      9.98813850E-01      1.01192686E+00
      26      9.84472363E-01      9.97060698E-01
      27      9.70684812E-01      9.82787242E-01
      28      9.57411700E-01      9.69062849E-01
      29      9.44617609E-01      9.55848528E-01
      30      9.32270660E-01      9.43109300E-01
      31      9.20342061E-01      9.30813667E-01
      32      9.08805717E-01      9.18933169E-01
      33      8.97637912E-01      9.07442008E-01
      34      8.86817026E-01      8.96316725E-01
      35      8.76323295E-01      8.85535928E-01
      36      8.66138610E-01      8.75080060E-01
      37      8.56246333E-01      8.64931192E-01
      38      8.46631147E-01      8.55072849E-01
      39      8.37278917E-01      8.45489860E-01
      40      8.28176571E-01      8.36168219E-01
      41      8.19312000E-01      8.27094977E-01
      42      8.10673963E-01      8.18258128E-01
      43      8.02252006E-01      8.09646530E-01
      44      7.94036391E-01      8.01249817E-01
      45      7.86018032E-01      7.93058331E-01
      46      7.78188436E-01      7.85063059E-01
      47      7.70539654E-01      7.77255574E-01
      48      7.63064234E-01      7.69627989E-01
      49      7.55755183E-01      7.62172910E-01
      50      7.48605925E-01      7.54883393E-01
      51      7.41610271E-01      7.47752910E-01
      52      7.34762389E-01      7.40775316E-01
      53      7.28056776E-01      7.33944820E-01
      54      7.21488232E-01      7.27255956E-01
      55      7.15051842E-01      7.20703560E-01
      56      7.08742949E-01      7.14282746E-01
      57      7.02557140E-01      7.07988889E-01
      58      6.96490231E-01      7.01817605E-01
      59      6.90538243E-01      6.95764732E-01
      60      6.84697399E-01      6.89826319E-01
      61      6.78964100E-01      6.83998609E-01
      62      6.73334922E-01      6.78278025E-01
      63      6.67806600E-01      6.72661163E-01
      64      6.62376019E-01      6.67144775E-01
