

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.37635124E-01      0.00000000E+00
       1      2.96459702E-01      3.31398616E-01
       2      2.74150330E-01      2.93337068E-01
       3      2.58709366E-01      2.72068684E-01
       4      2.46873339E-01      2.57148250E-01
       5      2.37268782E-01      2.45624569E-01
       6      2.29184600E-01      2.36228265E-01
       7      2.22204001E-01      2.28292855E-01
       8      2.16061404E-01      2.21423851E-01
       9      2.10577042E-01      2.15368065E-01
      10      2.05623523E-01      2.09953165E-01
      11      2.01107256E-01      2.05056491E-01
      12      1.96957448E-01      2.00587605E-01
      13      1.93119248E-01      1.96477899E-01
      14      1.89549290E-01      1.92674081E-01
      15      1.86212692E-01      1.89133929E-01
      16      1.83080977E-01      1.85823419E-01
      17      1.80130593E-01      1.82714729E-01
      18      1.77341841E-01      1.79784820E-01
      19      1.74698075E-01      1.77014393E-01
      20      1.72185101E-01      1.74387125E-01
      21      1.69790721E-01      1.71889085E-01
      22      1.67504372E-01      1.69508285E-01
      23      1.65316848E-01      1.67234341E-01
      24      1.63220076E-01      1.65058193E-01
      25      1.61206937E-01      1.62971891E-01
      26      1.59271123E-01      1.60968421E-01
      27      1.57407015E-01      1.59041563E-01
      28      1.55609590E-01      1.57185776E-01
      29      1.53874336E-01      1.55396101E-01
      30      1.52197188E-01      1.53668084E-01
      31      1.50574467E-01      1.51997709E-01
      32      1.49002838E-01      1.50381342E-01
      33      1.47479262E-01      1.48815683E-01
      34      1.46000966E-01      1.47297730E-01
      35      1.44565414E-01      1.45824739E-01
      36      1.43170275E-01      1.44394198E-01
      37      1.41813407E-01      1.43003802E-01
      38      1.40492835E-01      1.41651431E-01
      39      1.39206735E-01      1.40335127E-01
      40      1.37953415E-01      1.39053083E-01
      41      1.36731309E-01      1.37803624E-01
      42      1.35538960E-01      1.36585198E-01
      43      1.34375011E-01      1.35396358E-01
      44      1.33238197E-01      1.34235761E-01
      45      1.32127337E-01      1.33102152E-01
      46      1.31041324E-01      1.31994359E-01
      47      1.29979124E-01      1.30911284E-01
      48      1.28939763E-01      1.29851901E-01
      49      1.27922330E-01      1.28815245E-01
      50      1.26925966E-01      1.27800409E-01
      51      1.25949860E-01      1.26806541E-01
      52      1.24993251E-01      1.25832837E-01
