 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.78344E-19 cm**2 = 9.93983E-03 a0**2
 # 1st transport cross section = 5.69753E-24 cm**2 = 2.03463E-07 a0**2
 # 2nd transport cross section = 1.63081E-23 cm**2 = 5.82372E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.67541E-14  9.55406E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.67540E-14  9.55404E+02  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  2.67540E-14  9.55403E+02  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  2.67540E-14  9.55402E+02  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  2.67540E-14  9.55401E+02  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  2.67539E-14  9.55399E+02  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  2.67539E-14  9.55398E+02  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  2.67538E-14  9.55396E+02  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  2.67537E-14  9.55394E+02  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  2.67537E-14  9.55391E+02  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  2.67536E-14  9.55389E+02  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  2.67535E-14  9.55386E+02  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  2.67535E-14  9.55383E+02  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  2.67534E-14  9.55380E+02  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  2.67533E-14  9.55377E+02  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  2.67532E-14  9.55373E+02  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  2.67531E-14  9.55370E+02  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  2.67530E-14  9.55366E+02  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  2.67528E-14  9.55361E+02  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  2.67527E-14  9.55357E+02  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  2.67526E-14  9.55353E+02  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  2.67525E-14  9.55348E+02  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  2.67523E-14  9.55343E+02  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  2.67522E-14  9.55338E+02  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  2.67520E-14  9.55333E+02  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  2.67519E-14  9.55327E+02  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  2.67517E-14  9.55321E+02  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  2.67516E-14  9.55315E+02  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  2.67514E-14  9.55309E+02  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  2.67512E-14  9.55303E+02  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  2.67510E-14  9.55296E+02  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  2.67508E-14  9.55290E+02  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  2.67506E-14  9.55283E+02  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  2.67504E-14  9.55275E+02  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  2.67502E-14  9.55268E+02  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  2.67500E-14  9.55261E+02  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  2.67498E-14  9.55253E+02  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  2.67496E-14  9.55245E+02  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  2.67470E-14  9.55154E+02  0.00000E+00  1.0E-07
  1.500E-03  1.71347E-10  2.67439E-14  9.55044E+02  0.00000E+00  1.0E-07
  1.750E-03  2.33223E-10  2.67403E-14  9.54913E+02  0.00000E+00  1.0E-07
  2.000E-03  3.04617E-10  2.67361E-14  9.54762E+02  0.00000E+00  1.0E-07
  2.250E-03  3.85531E-10  2.67313E-14  9.54591E+02  0.00000E+00  1.0E-07
  2.500E-03  4.75965E-10  2.67259E-14  9.54400E+02  0.00000E+00  1.0E-07
  2.750E-03  5.75917E-10  2.67200E-14  9.54189E+02  0.00000E+00  1.0E-07
  3.000E-03  6.85389E-10  2.67136E-14  9.53958E+02  0.00000E+00  1.0E-07
  3.250E-03  8.04380E-10  2.67065E-14  9.53707E+02  0.00000E+00  1.0E-07
  3.500E-03  9.32891E-10  2.66989E-14  9.53436E+02  0.00000E+00  1.0E-07
  3.750E-03  1.07092E-09  2.66908E-14  9.53146E+02  0.00000E+00  1.0E-07
  4.000E-03  1.21847E-09  2.66821E-14  9.52835E+02  0.00000E+00  1.0E-07
  4.250E-03  1.37554E-09  2.66728E-14  9.52504E+02  0.00000E+00  1.0E-07
  4.500E-03  1.54213E-09  2.66630E-14  9.52154E+02  0.00000E+00  1.0E-07
  4.750E-03  1.71823E-09  2.66526E-14  9.51783E+02  0.00000E+00  1.0E-07
  5.000E-03  1.90386E-09  2.66417E-14  9.51393E+02  0.00000E+00  1.0E-07
  5.250E-03  2.09900E-09  2.66302E-14  9.50983E+02  0.00000E+00  1.0E-07
  5.500E-03  2.30367E-09  2.66182E-14  9.50553E+02  0.00000E+00  1.0E-07
  5.750E-03  2.51785E-09  2.66056E-14  9.50104E+02  0.00000E+00  1.0E-07
  6.000E-03  2.74156E-09  2.65925E-14  9.49635E+02  0.00000E+00  1.0E-07
  6.250E-03  2.97478E-09  2.65788E-14  9.49147E+02  0.00000E+00  1.0E-07
  6.500E-03  3.21752E-09  2.65646E-14  9.48638E+02  0.00000E+00  1.0E-07
  6.750E-03  3.46978E-09  2.65498E-14  9.48111E+02  0.00000E+00  1.0E-07
  7.000E-03  3.73156E-09  2.65345E-14  9.47564E+02  0.00000E+00  1.0E-07
  7.250E-03  4.00286E-09  2.65186E-14  9.46997E+02  0.00000E+00  1.0E-07
  7.500E-03  4.28368E-09  2.65022E-14  9.46411E+02  0.00000E+00  1.0E-07
  7.750E-03  4.57402E-09  2.64853E-14  9.45806E+02  0.00000E+00  1.0E-07
  8.000E-03  4.87388E-09  2.64678E-14  9.45182E+02  0.00000E+00  1.0E-07
  8.250E-03  5.18326E-09  2.64498E-14  9.44538E+02  0.00000E+00  1.0E-07
  8.500E-03  5.50215E-09  2.64312E-14  9.43875E+02  0.00000E+00  1.0E-07
  8.750E-03  5.83057E-09  2.64121E-14  9.43194E+02  0.00000E+00  1.0E-07
  9.000E-03  6.16850E-09  2.63925E-14  9.42493E+02  0.00000E+00  1.0E-07
  9.250E-03  6.51596E-09  2.63723E-14  9.41773E+02  0.00000E+00  1.0E-07
  9.500E-03  6.87293E-09  2.63516E-14  9.41034E+02  0.00000E+00  1.0E-07
  9.750E-03  7.23942E-09  2.63304E-14  9.40277E+02  0.00000E+00  1.0E-07
  1.000E-02  7.61544E-09  2.63087E-14  9.39501E+02  0.00000E+00  1.0E-07
  1.250E-02  1.18991E-08  2.60629E-14  9.30723E+02  0.00000E+00  1.0E-07
  1.500E-02  1.71347E-08  2.57670E-14  9.20157E+02  0.00000E+00  1.0E-07
  1.750E-02  2.33223E-08  2.54236E-14  9.07893E+02  0.00000E+00  1.0E-07
  2.000E-02  3.04617E-08  2.50356E-14  8.94036E+02  0.00000E+00  1.0E-07
  2.250E-02  3.85531E-08  2.46061E-14  8.78701E+02  0.00000E+00  1.0E-07
  2.500E-02  4.75965E-08  2.41388E-14  8.62011E+02  0.00000E+00  1.0E-07
  2.750E-02  5.75917E-08  2.36371E-14  8.44097E+02  0.00000E+00  1.0E-07
  3.000E-02  6.85389E-08  2.31049E-14  8.25091E+02  0.00000E+00  1.0E-07
  3.250E-02  8.04380E-08  2.25459E-14  8.05130E+02  0.00000E+00  1.0E-07
  3.500E-02  9.32891E-08  2.19641E-14  7.84352E+02  0.00000E+00  1.0E-07
  3.750E-02  1.07092E-07  2.13631E-14  7.62892E+02  0.00000E+00  1.0E-07
  4.000E-02  1.21847E-07  2.07468E-14  7.40882E+02  0.00000E+00  1.0E-07
  4.250E-02  1.37554E-07  2.01187E-14  7.18451E+02  0.00000E+00  1.0E-07
  4.500E-02  1.54213E-07  1.94822E-14  6.95722E+02  0.00000E+00  1.0E-07
  4.750E-02  1.71823E-07  1.88406E-14  6.72810E+02  0.00000E+00  1.0E-07
  5.000E-02  1.90386E-07  1.81970E-14  6.49826E+02  0.00000E+00  1.0E-07
  5.250E-02  2.09900E-07  1.75541E-14  6.26869E+02  0.00000E+00  1.0E-07
  5.500E-02  2.30367E-07  1.69146E-14  6.04032E+02  0.00000E+00  1.0E-07
  5.750E-02  2.51785E-07  1.62809E-14  5.81401E+02  0.00000E+00  1.0E-07
  6.000E-02  2.74156E-07  1.56550E-14  5.59049E+02  0.00000E+00  1.0E-07
  6.250E-02  2.97478E-07  1.50388E-14  5.37045E+02  0.00000E+00  1.0E-07
  6.500E-02  3.21752E-07  1.44340E-14  5.15446E+02  0.00000E+00  1.0E-07
  6.750E-02  3.46978E-07  1.38419E-14  4.94304E+02  0.00000E+00  1.0E-07
  7.000E-02  3.73156E-07  1.32639E-14  4.73662E+02  0.00000E+00  1.0E-07
  7.250E-02  4.00286E-07  1.27008E-14  4.53555E+02  0.00000E+00  1.0E-07
  7.500E-02  4.28368E-07  1.21536E-14  4.34013E+02  0.00000E+00  1.0E-07
  7.750E-02  4.57402E-07  1.16228E-14  4.15058E+02  0.00000E+00  1.0E-07
  8.000E-02  4.87388E-07  1.11090E-14  3.96708E+02  0.00000E+00  1.0E-07
  8.250E-02  5.18325E-07  1.06123E-14  3.78974E+02  0.00000E+00  1.0E-07
  8.500E-02  5.50215E-07  1.01332E-14  3.61862E+02  0.00000E+00  1.0E-07
  8.750E-02  5.83057E-07  9.67156E-15  3.45378E+02  0.00000E+00  1.0E-07
  9.000E-02  6.16850E-07  9.22744E-15  3.29518E+02  0.00000E+00  1.0E-07
  9.250E-02  6.51596E-07  8.80072E-15  3.14279E+02  0.00000E+00  1.0E-07
  9.500E-02  6.87293E-07  8.39120E-15  2.99655E+02  0.00000E+00  1.0E-07
  9.750E-02  7.23942E-07  7.99862E-15  2.85636E+02  0.00000E+00  1.0E-07
  1.000E-01  7.61543E-07  7.62265E-15  2.72210E+02  0.00000E+00  1.0E-07
  1.250E-01  1.18991E-06  4.68156E-15  1.67182E+02  0.00000E+00  1.0E-07
  1.500E-01  1.71347E-06  2.88880E-15  1.03161E+02  0.00000E+00  1.0E-07
  1.750E-01  2.33223E-06  1.81682E-15  6.48797E+01  0.00000E+00  1.0E-07
