

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      3.81352059E-01      0.00000000E+00
       1      3.34118092E-01      3.74225203E-01
       2      3.08563911E-01      3.30549305E-01
       3      2.90888794E-01      3.06184865E-01
       4      2.77345284E-01      2.89104668E-01
       5      2.66357873E-01      2.75918146E-01
       6      2.57111402E-01      2.65168758E-01
       7      2.49128305E-01      2.56092328E-01
       8      2.42104377E-01      2.48236784E-01
       9      2.35833764E-01      2.41312084E-01
      10      2.30170614E-01      2.35120870E-01
      11      2.25007791E-01      2.29522699E-01
      12      2.20264271E-01      2.24414039E-01
      13      2.15877279E-01      2.19716362E-01
      14      2.11797191E-01      2.15368676E-01
      15      2.07984093E-01      2.11322664E-01
      16      2.04405403E-01      2.07539393E-01
      17      2.01034175E-01      2.03987029E-01
      18      1.97847874E-01      2.00639213E-01
      19      1.94827454E-01      1.97473865E-01
      20      1.91956680E-01      1.94472312E-01
      21      1.89221598E-01      1.91618615E-01
      22      1.86610124E-01      1.88899064E-01
      23      1.84111728E-01      1.86301777E-01
      24      1.81717174E-01      1.83816391E-01
      25      1.79418320E-01      1.81433813E-01
      26      1.77207950E-01      1.79146018E-01
      27      1.75079636E-01      1.76945893E-01
      28      1.73027632E-01      1.74827097E-01
      29      1.71046779E-01      1.72783960E-01
      30      1.69132423E-01      1.70811386E-01
      31      1.67280360E-01      1.68904780E-01
      32      1.65486770E-01      1.67059985E-01
      33      1.63748180E-01      1.65273227E-01
      34      1.62061416E-01      1.63541070E-01
      35      1.60423576E-01      1.61860376E-01
      36      1.58831995E-01      1.60228271E-01
      37      1.57284221E-01      1.58642118E-01
      38      1.55777995E-01      1.57099490E-01
      39      1.54311228E-01      1.55598148E-01
      40      1.52881987E-01      1.54136023E-01
      41      1.51488477E-01      1.52711200E-01
      42      1.50129031E-01      1.51321901E-01
      43      1.48802097E-01      1.49966472E-01
      44      1.47506227E-01      1.48643374E-01
      45      1.46240068E-01      1.47351172E-01
      46      1.45002355E-01      1.46088524E-01
      47      1.43791903E-01      1.44854174E-01
      48      1.42607598E-01      1.43646946E-01
      49      1.41448395E-01      1.42465736E-01
      50      1.40313311E-01      1.41309506E-01
      51      1.39201420E-01      1.40177279E-01
      52      1.38111847E-01      1.39068137E-01
      53      1.37043769E-01      1.37981211E-01
      54      1.35996405E-01      1.36915683E-01
      55      1.34969017E-01      1.35870777E-01
      56      1.33960908E-01      1.34845762E-01
      57      1.32971414E-01      1.33839942E-01
      58      1.31999906E-01      1.32852661E-01
      59      1.31045788E-01      1.31883291E-01
      60      1.30108492E-01      1.30931241E-01
      61      1.29187477E-01      1.29995946E-01
      62      1.28282229E-01      1.29076869E-01
      63      1.27392257E-01      1.28173497E-01
      64      1.26517093E-01      1.27285344E-01
      65      1.25656291E-01      1.26411944E-01
      66      1.24809425E-01      1.25552854E-01
      67      1.23976085E-01      1.24707648E-01
      68      1.23155883E-01      1.23875921E-01
      69      1.22348444E-01      1.23057285E-01
      70      1.21553412E-01      1.22251369E-01
      71      1.20770442E-01      1.21457816E-01
      72      1.19999206E-01      1.20676286E-01
      73      1.19239388E-01      1.19906450E-01
      74      1.18490686E-01      1.19147996E-01
      75      1.17752808E-01      1.18400621E-01
      76      1.17025474E-01      1.17664036E-01
      77      1.16308415E-01      1.16937962E-01
      78      1.15601372E-01      1.16222131E-01
      79      1.14904096E-01      1.15516285E-01
      80      1.14216346E-01      1.14820176E-01
      81      1.13537890E-01      1.14133564E-01
      82      1.12868506E-01      1.13456220E-01
      83      1.12207978E-01      1.12787921E-01
      84      1.11556098E-01      1.12128452E-01
      85      1.10912666E-01      1.11477607E-01
      86      1.10277488E-01      1.10835186E-01
      87      1.09650376E-01      1.10200996E-01
      88      1.09031150E-01      1.09574849E-01
      89      1.08419634E-01      1.08956567E-01
      90      1.07815659E-01      1.08345975E-01
      91      1.07219062E-01      1.07742903E-01
      92      1.06629683E-01      1.07147189E-01
      93      1.06047369E-01      1.06558675E-01
      94      1.05471971E-01      1.05977207E-01
      95      1.04903344E-01      1.05402637E-01  i
      96      1.04341349E-01      1.04834822E-01  i
      97      1.03785851E-01      1.04273622E-01  i
      98      1.03236716E-01      1.03718902E-01  i
      99      1.02693819E-01      1.03170531E-01  i
     100      1.02157034E-01      1.02628381E-01  i
     105      9.95607040E-02      1.00006752E-01  i
     110      9.71005051E-02      9.75235480E-02  i
     115      9.47643832E-02      9.51664238E-02  i
     120      9.25417803E-02      9.29245770E-02  i
     125      9.04233950E-02      9.07885006E-02  i
     130      8.84009901E-02      8.87497827E-02  i
     135      8.64672357E-02      8.68009436E-02  i
     140      8.46155804E-02      8.49353037E-02  i
     145      8.28401450E-02      8.31468724E-02  i
     150      8.11356341E-02      8.14302573E-02  i
     155      7.94972611E-02      7.97805874E-02  i
     160      7.79206865E-02      7.81934487E-02  i
     165      7.64019636E-02      7.66648289E-02  i
     170      7.49374936E-02      7.51910711E-02  i
     175      7.35239865E-02      7.37688336E-02  i
     180      7.21584273E-02      7.23950553E-02  i
     185      7.08380471E-02      7.10669259E-02  i
     190      6.95602973E-02      6.97818598E-02  i
     195      6.83228277E-02      6.85374736E-02  i
     200      6.71234672E-02      6.73315658E-02  i
     205      6.59602063E-02      6.61620997E-02  i
     210      6.48311825E-02      6.50271880E-02  i
     215      6.37346661E-02      6.39250787E-02  i
     220      6.26690494E-02      6.28541432E-02  i
     225      6.16328348E-02      6.18128654E-02  i
     230      6.06246266E-02      6.07998324E-02  i
     235      5.96431214E-02      5.98137250E-02  i
     240      5.86871011E-02      5.88533108E-02  i
     245      5.77554259E-02      5.79174366E-02  i
     250      5.68470278E-02      5.70050223E-02  i
     255      5.59609055E-02      5.61150551E-02  i
     260      5.50961187E-02      5.52465844E-02  i
     265      5.42517839E-02      5.43987171E-02  i
     270      5.34270700E-02      5.35706131E-02  i
     275      5.26211945E-02      5.27614817E-02  i
     280      5.18334201E-02      5.19705778E-02  i
     285      5.10630513E-02      5.11971988E-02  i
     290      5.03094314E-02      5.04406815E-02  i
     295      4.95719402E-02      4.97003994E-02  i
     300      4.88499912E-02      4.89757601E-02  i
     310      4.74505290E-02      4.75711984E-02  i
     320      4.61069458E-02      4.62228587E-02  i
     330      4.48155547E-02      4.49270199E-02  i
     340      4.35730299E-02      4.36803262E-02  i
     350      4.23763627E-02      4.24797429E-02  i
     360      4.12228241E-02      4.13225175E-02  i
