 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.45215E-19 cm**2 = 8.75678E-03 a0**2
 # 1st transport cross section = 3.25980E-24 cm**2 = 1.16410E-07 a0**2
 # 2nd transport cross section = 9.34538E-24 cm**2 = 3.33730E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.16467E-14  1.48723E+03  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.16466E-14  1.48723E+03  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  4.16465E-14  1.48722E+03  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  4.16464E-14  1.48722E+03  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  4.16463E-14  1.48722E+03  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  4.16462E-14  1.48721E+03  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  4.16461E-14  1.48721E+03  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  4.16459E-14  1.48720E+03  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  4.16458E-14  1.48720E+03  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  4.16456E-14  1.48719E+03  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  4.16454E-14  1.48718E+03  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  4.16452E-14  1.48718E+03  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  4.16450E-14  1.48717E+03  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  4.16447E-14  1.48716E+03  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  4.16445E-14  1.48715E+03  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  4.16442E-14  1.48714E+03  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  4.16440E-14  1.48713E+03  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  4.16437E-14  1.48712E+03  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  4.16434E-14  1.48711E+03  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  4.16430E-14  1.48710E+03  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  4.16427E-14  1.48709E+03  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  4.16423E-14  1.48707E+03  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  4.16420E-14  1.48706E+03  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  4.16416E-14  1.48705E+03  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  4.16412E-14  1.48703E+03  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  4.16408E-14  1.48702E+03  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  4.16403E-14  1.48700E+03  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  4.16399E-14  1.48699E+03  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  4.16394E-14  1.48697E+03  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  4.16390E-14  1.48695E+03  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  4.16385E-14  1.48694E+03  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  4.16380E-14  1.48692E+03  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  4.16374E-14  1.48690E+03  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  4.16369E-14  1.48688E+03  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  4.16364E-14  1.48686E+03  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  4.16358E-14  1.48684E+03  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  4.16352E-14  1.48682E+03  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  4.16346E-14  1.48680E+03  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  4.16278E-14  1.48656E+03  0.00000E+00  1.0E-07
  1.500E-03  1.71347E-10  4.16195E-14  1.48626E+03  0.00000E+00  1.0E-07
  1.750E-03  2.33223E-10  4.16097E-14  1.48591E+03  0.00000E+00  1.0E-07
  2.000E-03  3.04617E-10  4.15985E-14  1.48551E+03  0.00000E+00  1.0E-07
  2.250E-03  3.85531E-10  4.15857E-14  1.48505E+03  0.00000E+00  1.0E-07
  2.500E-03  4.75965E-10  4.15714E-14  1.48454E+03  0.00000E+00  1.0E-07
  2.750E-03  5.75917E-10  4.15556E-14  1.48398E+03  0.00000E+00  1.0E-07
  3.000E-03  6.85389E-10  4.15383E-14  1.48336E+03  0.00000E+00  1.0E-07
  3.250E-03  8.04380E-10  4.15195E-14  1.48269E+03  0.00000E+00  1.0E-07
  3.500E-03  9.32891E-10  4.14992E-14  1.48196E+03  0.00000E+00  1.0E-07
  3.750E-03  1.07092E-09  4.14775E-14  1.48119E+03  0.00000E+00  1.0E-07
  4.000E-03  1.21847E-09  4.14543E-14  1.48036E+03  0.00000E+00  1.0E-07
