 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.04033E-07  4.13975E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  2.04033E-07  4.13975E-09  1.56445E-13  3.17425E-15
  1.250E-04  1.18994E-12  2.04033E-07  4.13975E-09  1.95557E-13  3.96782E-15
  1.500E-04  1.71346E-12  2.04033E-07  4.13974E-09  2.34668E-13  4.76138E-15
  1.750E-04  2.33225E-12  2.04032E-07  4.13974E-09  2.73779E-13  5.55494E-15
  2.000E-04  3.04617E-12  2.04032E-07  4.13974E-09  3.12889E-13  6.34850E-15
  2.250E-04  3.85530E-12  2.04032E-07  4.13974E-09  3.52000E-13  7.14206E-15
  2.500E-04  4.75964E-12  2.04031E-07  4.13974E-09  3.91111E-13  7.93562E-15
  2.750E-04  5.75917E-12  2.04031E-07  4.13974E-09  4.30221E-13  8.72918E-15
  3.000E-04  6.85391E-12  2.04031E-07  4.13974E-09  4.69331E-13  9.52274E-15
  3.250E-04  8.04379E-12  2.04030E-07  4.13974E-09  5.08441E-13  1.03163E-14
  3.500E-04  9.32893E-12  2.04030E-07  4.13973E-09  5.47550E-13  1.11099E-14
  3.750E-04  1.07092E-11  2.04029E-07  4.13973E-09  5.86659E-13  1.19034E-14
  4.000E-04  1.21847E-11  2.04028E-07  4.13973E-09  6.25768E-13  1.26970E-14
  4.250E-04  1.37554E-11  2.04028E-07  4.13973E-09  6.64877E-13  1.34905E-14
  4.500E-04  1.54213E-11  2.04027E-07  4.13972E-09  7.03985E-13  1.42841E-14
  4.750E-04  1.71823E-11  2.04027E-07  4.13972E-09  7.43092E-13  1.50776E-14
  5.000E-04  1.90386E-11  2.04026E-07  4.13972E-09  7.82200E-13  1.58712E-14
  5.250E-04  2.09900E-11  2.04025E-07  4.13972E-09  8.21307E-13  1.66647E-14
  5.500E-04  2.30367E-11  2.04024E-07  4.13971E-09  8.60413E-13  1.74583E-14
  5.750E-04  2.51785E-11  2.04023E-07  4.13971E-09  8.99519E-13  1.82518E-14
  6.000E-04  2.74156E-11  2.04023E-07  4.13971E-09  9.38625E-13  1.90453E-14
  6.250E-04  2.97478E-11  2.04022E-07  4.13970E-09  9.77730E-13  1.98389E-14
  6.500E-04  3.21752E-11  2.04021E-07  4.13970E-09  1.01683E-12  2.06324E-14
  6.750E-04  3.46979E-11  2.04020E-07  4.13969E-09  1.05594E-12  2.14259E-14
  7.000E-04  3.73157E-11  2.04019E-07  4.13969E-09  1.09504E-12  2.22195E-14
  7.250E-04  4.00286E-11  2.04018E-07  4.13969E-09  1.13414E-12  2.30130E-14
  7.500E-04  4.28368E-11  2.04017E-07  4.13968E-09  1.17325E-12  2.38065E-14
  7.750E-04  4.57402E-11  2.04015E-07  4.13968E-09  1.21235E-12  2.46001E-14
  8.000E-04  4.87388E-11  2.04014E-07  4.13967E-09  1.25145E-12  2.53936E-14
  8.250E-04  5.18325E-11  2.04013E-07  4.13967E-09  1.29055E-12  2.61871E-14
  8.500E-04  5.50215E-11  2.04012E-07  4.13966E-09  1.32965E-12  2.69806E-14
