

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.24206387E-01      0.00000000E+00
       1      3.70869045E-01      4.16189585E-01
       2      3.42055273E-01      3.66854081E-01
       3      3.22138815E-01      3.39378817E-01
       4      3.06883622E-01      3.20131676E-01
       5      2.94510644E-01      3.05278121E-01
       6      2.84100027E-01      2.93172940E-01
       7      2.75113115E-01      2.82953639E-01
       8      2.67206910E-01      2.74110243E-01
       9      2.60149362E-01      2.66315686E-01
      10      2.53776095E-01      2.59347478E-01
      11      2.47966386E-01      2.53047328E-01
      12      2.42628945E-01      2.47298567E-01
      13      2.37693054E-01      2.42012714E-01
      14      2.33102813E-01      2.37121056E-01
      15      2.28813264E-01      2.32569164E-01
      16      2.24787712E-01      2.28313184E-01
      17      2.20995809E-01      2.24317262E-01
      18      2.17412174E-01      2.20551709E-01
      19      2.14015361E-01      2.16991659E-01
      20      2.10787087E-01      2.13616083E-01
      21      2.07711638E-01      2.10407032E-01
      22      2.04775407E-01      2.07349066E-01
      23      2.01966535E-01      2.04428806E-01
      24      1.99274625E-01      2.01634582E-01
      25      1.96690507E-01      1.98956155E-01
      26      1.94206054E-01      1.96384488E-01
      27      1.91814030E-01      1.93911571E-01
      28      1.89507965E-01      1.91530265E-01
      29      1.87282046E-01      1.89234183E-01
      30      1.85131036E-01      1.87017587E-01
      31      1.83050197E-01      1.84875304E-01
      32      1.81035231E-01      1.82802651E-01
      33      1.79082224E-01      1.80795379E-01
      34      1.77187603E-01      1.78849617E-01
      35      1.75348098E-01      1.76961831E-01
      36      1.73560707E-01      1.75128785E-01
      37      1.71822671E-01      1.73347509E-01
      38      1.70131443E-01      1.71615267E-01
      39      1.68484670E-01      1.69929540E-01
      40      1.66880175E-01      1.68287997E-01
      41      1.65315936E-01      1.66688479E-01
      42      1.63790075E-01      1.65128982E-01
      43      1.62300844E-01      1.63607646E-01
      44      1.60846610E-01      1.62122736E-01
      45      1.59425849E-01      1.60672634E-01
      46      1.58037136E-01      1.59255827E-01
      47      1.56679134E-01      1.57870902E-01
      48      1.55350590E-01      1.56516532E-01
      49      1.54050324E-01      1.55191473E-01
      50      1.52777230E-01      1.53894556E-01
      51      1.51530262E-01      1.52624680E-01
      52      1.50308436E-01      1.51380808E-01
      53      1.49110822E-01      1.50161963E-01
      54      1.47936541E-01      1.48967221E-01
      55      1.46784761E-01      1.47795709E-01
      56      1.45654694E-01      1.46646600E-01
      57      1.44545593E-01      1.45519112E-01
      58      1.43456750E-01      1.44412503E-01
      59      1.42387490E-01      1.43326067E-01
      60      1.41337174E-01      1.42259136E-01
      61      1.40305191E-01      1.41211072E-01
      62      1.39290961E-01      1.40181271E-01
      63      1.38293932E-01      1.39169154E-01
