 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   9,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.48435E-07  4.88738E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.48435E-07  4.88738E-09  1.13815E-13  3.74756E-15
  1.250E-04  1.18994E-12  1.48435E-07  4.88737E-09  1.42269E-13  4.68445E-15
  1.500E-04  1.71346E-12  1.48435E-07  4.88737E-09  1.70723E-13  5.62134E-15
  1.750E-04  2.33225E-12  1.48435E-07  4.88737E-09  1.99177E-13  6.55823E-15
  2.000E-04  3.04617E-12  1.48435E-07  4.88737E-09  2.27630E-13  7.49512E-15
  2.250E-04  3.85530E-12  1.48434E-07  4.88737E-09  2.56084E-13  8.43201E-15
  2.500E-04  4.75964E-12  1.48434E-07  4.88737E-09  2.84537E-13  9.36890E-15
  2.750E-04  5.75917E-12  1.48434E-07  4.88737E-09  3.12991E-13  1.03058E-14
  3.000E-04  6.85391E-12  1.48434E-07  4.88737E-09  3.41444E-13  1.12427E-14
  3.250E-04  8.04379E-12  1.48434E-07  4.88737E-09  3.69898E-13  1.21796E-14
  3.500E-04  9.32893E-12  1.48434E-07  4.88737E-09  3.98351E-13  1.31164E-14
  3.750E-04  1.07092E-11  1.48434E-07  4.88737E-09  4.26804E-13  1.40533E-14
  4.000E-04  1.21847E-11  1.48433E-07  4.88737E-09  4.55257E-13  1.49902E-14
  4.250E-04  1.37554E-11  1.48433E-07  4.88736E-09  4.83710E-13  1.59271E-14
  4.500E-04  1.54213E-11  1.48433E-07  4.88736E-09  5.12162E-13  1.68640E-14
  4.750E-04  1.71823E-11  1.48433E-07  4.88736E-09  5.40615E-13  1.78009E-14
  5.000E-04  1.90386E-11  1.48432E-07  4.88736E-09  5.69068E-13  1.87378E-14
  5.250E-04  2.09900E-11  1.48432E-07  4.88736E-09  5.97520E-13  1.96746E-14
  5.500E-04  2.30367E-11  1.48432E-07  4.88736E-09  6.25972E-13  2.06115E-14
  5.750E-04  2.51785E-11  1.48432E-07  4.88736E-09  6.54424E-13  2.15484E-14
  6.000E-04  2.74156E-11  1.48431E-07  4.88735E-09  6.82876E-13  2.24853E-14
  6.250E-04  2.97478E-11  1.48431E-07  4.88735E-09  7.11328E-13  2.34221E-14
  6.500E-04  3.21752E-11  1.48431E-07  4.88735E-09  7.39779E-13  2.43590E-14
  6.750E-04  3.46979E-11  1.48430E-07  4.88735E-09  7.68230E-13  2.52959E-14
  7.000E-04  3.73157E-11  1.48430E-07  4.88735E-09  7.96682E-13  2.62328E-14
  7.250E-04  4.00286E-11  1.48430E-07  4.88734E-09  8.25133E-13  2.71696E-14
  7.500E-04  4.28368E-11  1.48429E-07  4.88734E-09  8.53583E-13  2.81065E-14
  7.750E-04  4.57402E-11  1.48429E-07  4.88734E-09  8.82034E-13  2.90434E-14
  8.000E-04  4.87388E-11  1.48429E-07  4.88734E-09  9.10484E-13  2.99803E-14
  8.250E-04  5.18325E-11  1.48428E-07  4.88733E-09  9.38934E-13  3.09171E-14
  8.500E-04  5.50215E-11  1.48428E-07  4.88733E-09  9.67384E-13  3.18540E-14
  8.750E-04  5.83057E-11  1.48427E-07  4.88733E-09  9.95833E-13  3.27909E-14
  9.000E-04  6.16850E-11  1.48427E-07  4.88733E-09  1.02428E-12  3.37277E-14
  9.250E-04  6.51595E-11  1.48426E-07  4.88732E-09  1.05273E-12  3.46646E-14
  9.500E-04  6.87293E-11  1.48426E-07  4.88732E-09  1.08118E-12  3.56014E-14
