

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.21076937E-02      0.00000000E+00
       1      4.63529087E-02      5.12162236E-02
       2      4.32083902E-02      4.59068491E-02
       3      4.10235062E-02      4.29110182E-02
       4      3.93450065E-02      4.08004785E-02
       5      3.79809654E-02      3.91665856E-02
       6      3.68316254E-02      3.78322826E-02
       7      3.58383558E-02      3.67041844E-02
       8      3.49637216E-02      3.57268462E-02
       9      3.41823446E-02      3.48646033E-02
      10      3.34762186E-02      3.40931395E-02
      11      3.28321017E-02      3.33951244E-02
      12      3.22399698E-02      3.27577667E-02
      13      3.16920504E-02      3.21713542E-02
      14      3.11821953E-02      3.16283374E-02
      15      3.07054565E-02      3.11227312E-02
      16      3.02577928E-02      3.06497102E-02
      17      2.98358610E-02      3.02053271E-02
      18      2.94368634E-02      2.97863114E-02
      19      2.90584357E-02      2.93899231E-02
      20      2.86985613E-02      2.90138437E-02
      21      2.83555068E-02      2.86560942E-02
      22      2.80277707E-02      2.83149713E-02
      23      2.77140445E-02      2.79889991E-02
      24      2.74131804E-02      2.76768898E-02
      25      2.71241662E-02      2.73775132E-02
      26      2.68461048E-02      2.70898722E-02
      27      2.65781973E-02      2.68130823E-02
      28      2.63197292E-02      2.65463556E-02
      29      2.60700590E-02      2.62889869E-02
      30      2.58286085E-02      2.60403429E-02
      31      2.55948545E-02      2.57998523E-02
      32      2.53683225E-02      2.55669983E-02
      33      2.51485806E-02      2.53413119E-02
      34      2.49352344E-02      2.51223658E-02
      35      2.47279231E-02      2.49097700E-02
      36      2.45263154E-02      2.47031674E-02
      37      2.43301069E-02      2.45022302E-02
      38      2.41390167E-02      2.43066569E-02
      39      2.39527853E-02      2.41161693E-02
      40      2.37711727E-02      2.39305105E-02
      41      2.35939560E-02      2.37494426E-02
      42      2.34209282E-02      2.35727446E-02
      43      2.32518967E-02      2.34002116E-02
      44      2.30866817E-02      2.32316523E-02
      45      2.29251155E-02      2.30668885E-02
      46      2.27670410E-02      2.29057540E-02
      47      2.26123112E-02      2.27480928E-02
      48      2.24607883E-02      2.25937592E-02
      49      2.23123426E-02      2.24426163E-02
      50      2.21668523E-02      2.22945354E-02
      51      2.20242027E-02      2.21493957E-02
      52      2.18842855E-02      2.20070831E-02
      53      2.17469989E-02      2.18674904E-02
      54      2.16122461E-02      2.17305161E-02
      55      2.14799361E-02      2.15960645E-02
      56      2.13499824E-02      2.14640448E-02
      57      2.12223031E-02      2.13343712E-02
      58      2.10968206E-02      2.12069625E-02
      59      2.09734611E-02      2.10817414E-02
      60      2.08521545E-02      2.09586346E-02
      61      2.07328343E-02      2.08375725E-02
      62      2.06154368E-02      2.07184888E-02
      63      2.04999017E-02      2.06013204E-02
      64      2.03861712E-02      2.04860072E-02
      65      2.02741905E-02      2.03724920E-02
      66      2.01639070E-02      2.02607199E-02
      67      2.00552704E-02      2.01506388E-02
      68      1.99482329E-02      2.00421987E-02
      69      1.98427485E-02      1.99353521E-02
      70      1.97387733E-02      1.98300531E-02
      71      1.96362651E-02      1.97262580E-02
      72      1.95351837E-02      1.96239251E-02
      73      1.94354902E-02      1.95230140E-02
      74      1.93371476E-02      1.94234864E-02
      75      1.92401201E-02      1.93253052E-02
      76      1.91443735E-02      1.92284349E-02
      77      1.90498749E-02      1.91328415E-02
      78      1.89565925E-02      1.90384920E-02
      79      1.88644959E-02      1.89453551E-02
      80      1.87735557E-02      1.88534003E-02
      81      1.86837436E-02      1.87625985E-02
      82      1.85950325E-02      1.86729214E-02
      83      1.85073959E-02      1.85843420E-02
      84      1.84208087E-02      1.84968342E-02
      85      1.83352464E-02      1.84103726E-02
      86      1.82506854E-02      1.83249330E-02
      87      1.81671028E-02      1.82404918E-02
      88      1.80844767E-02      1.81570265E-02
      89      1.80027859E-02      1.80745150E-02
      90      1.79220096E-02      1.79929362E-02
      91      1.78421282E-02      1.79122696E-02
      92      1.77631223E-02      1.78324954E-02
      93      1.76849732E-02      1.77535944E-02
      94      1.76076630E-02      1.76755480E-02
      95      1.75311742E-02      1.75983384E-02  i
      96      1.74554898E-02      1.75219481E-02  i
      97      1.73805935E-02      1.74463602E-02  i
      98      1.73064693E-02      1.73715584E-02  i
      99      1.72331018E-02      1.72975268E-02  i
     100      1.71604761E-02      1.72242501E-02  i
     105      1.68079800E-02      1.68686830E-02  i
     110      1.64720185E-02      1.65299264E-02  i
     115      1.61511445E-02      1.62064973E-02  i
     120      1.58440945E-02      1.58971024E-02  i
     125      1.55497583E-02      1.56006064E-02  i
     130      1.52671555E-02      1.53160075E-02  i
     135      1.49954158E-02      1.50424175E-02  i
     140      1.47337632E-02      1.47790447E-02  i
     145      1.44815028E-02      1.45251810E-02  i
     150      1.42380099E-02      1.42801898E-02  i
     155      1.40027208E-02      1.40434974E-02  i
     160      1.37751251E-02      1.38145846E-02  i
     165      1.35547592E-02      1.35929798E-02  i
     170      1.33412007E-02      1.33782540E-02  i
     175      1.31340637E-02      1.31700150E-02  i
     180      1.29329947E-02      1.29679039E-02  i
     185      1.27376689E-02      1.27715912E-02  i
     190      1.25477875E-02      1.25807737E-02  i
     195      1.23630748E-02      1.23951717E-02  i
     200      1.21832756E-02      1.22145267E-02  i
     205      1.20081539E-02      1.20385993E-02  i
     210      1.18374902E-02      1.18671674E-02  i
     215      1.16710806E-02      1.17000244E-02  i
     220      1.15087352E-02      1.15369779E-02  i
     225      1.13502766E-02      1.13778486E-02  i
     230      1.11955391E-02      1.12224687E-02  i
     235      1.10443676E-02      1.10706813E-02  i
     240      1.08966166E-02      1.09223394E-02  i
     245      1.07521498E-02      1.07773050E-02  i
     250      1.06108387E-02      1.06354483E-02  i
     255      1.04725627E-02      1.04966473E-02  i
     260      1.03372078E-02      1.03607871E-02  i
     265      1.02046668E-02      1.02277591E-02  i
     270      1.00748382E-02      1.00974609E-02  i
     275      9.94762607E-03      9.96979570E-03  i
     280      9.82293968E-03      9.84467182E-03  i
     285      9.70069299E-03      9.72200244E-03  i
     290      9.58080441E-03      9.60170519E-03  i
     295      9.46319649E-03      9.48370192E-03  i
     300      9.34779560E-03      9.36791836E-03  i
     310      9.12333824E-03      9.14273124E-03  i
     320      8.90691135E-03      8.92561837E-03  i
     330      8.69804127E-03      8.71610219E-03  i
     340      8.49629610E-03      8.51374732E-03  i
     350      8.30128082E-03      8.31815567E-03  i
     360      8.11263316E-03      8.12896227E-03  i
     370      7.93002007E-03      7.94583161E-03  i
     380      7.75313456E-03      7.76845453E-03  i
     390      7.58169301E-03      7.59654546E-03  i
     400      7.41543285E-03      7.42984006E-03  i
     410      7.25411047E-03      7.26809313E-03  i
     420      7.09749939E-03      7.11107676E-03  i
     430      6.94538867E-03      6.95857869E-03  i
     440      6.79758148E-03      6.81040093E-03  i
     450      6.65389387E-03      6.66635841E-03  i
     460      6.51415360E-03      6.52627793E-03  i
     470      6.37819917E-03      6.38999707E-03  i
     480      6.24587892E-03      6.25736335E-03  i
     490      6.11705022E-03      6.12823335E-03  i
     500      5.99157873E-03      6.00247206E-03  i
     510      5.86933778E-03      5.87995216E-03  i
     520      5.75020778E-03      5.76055344E-03  i
     530      5.63407566E-03      5.64416228E-03  i
     540      5.52083441E-03      5.53067116E-03  i
     550      5.41038261E-03      5.41997819E-03  i
     560      5.30262409E-03      5.31198675E-03  i
     570      5.19746751E-03      5.20660509E-03  i
     580      5.09482605E-03      5.10374601E-03  i
     590      4.99461711E-03      5.00332655E-03  i
     600      4.89676203E-03      4.90526770E-03  i
     620      4.70781693E-03      4.71593411E-03  i
     640      4.52743094E-03      4.53518317E-03  i
     660      4.35509287E-03      4.36250167E-03  i
     680      4.19033448E-03      4.19741958E-03  i
     700      4.03272561E-03      4.03950516E-03  i
     720      3.88186999E-03      3.88836076E-03  i
     740      3.73740170E-03      3.74361916E-03  i
     760      3.59898197E-03      3.60494047E-03  i
     780      3.46629649E-03      3.47200936E-03  i
     800      3.33905304E-03      3.34453268E-03  i
     820      3.21697936E-03      3.22223734E-03  i
     840      3.09982134E-03      3.10486847E-03  i
     860      2.98734141E-03      2.99218780E-03  i
     880      2.87931705E-03      2.88397217E-03  i
     900      2.77553954E-03      2.78001229E-03  i
     920      2.67581280E-03      2.68011155E-03  i
     940      2.57995239E-03      2.58408500E-03  i
     960      2.48778456E-03      2.49175846E-03  i
     980      2.39914546E-03      2.40296765E-03  i
    1000      2.31388037E-03      2.31755746E-03  i
    1020      2.23184303E-03      2.23538128E-03  i
    1040      2.15289505E-03      2.15630038E-03  i
    1060      2.07690534E-03      2.08018337E-03  i
    1080      2.00374961E-03      2.00690565E-03  i
    1100      1.93330992E-03      1.93634903E-03  i
    1120      1.86547425E-03      1.86840123E-03  i
    1140      1.80013612E-03      1.80295554E-03  i
    1160      1.73719425E-03      1.73991046E-03  i
    1180      1.67655222E-03      1.67916935E-03  i
    1200      1.61811820E-03      1.62064020E-03  i
    1250      1.48112853E-03      1.48342877E-03  i
    1300      1.35614084E-03      1.35824025E-03  i
    1350      1.24203013E-03      1.24394741E-03  i
    1400      1.13779036E-03      1.13954225E-03  i
    1450      1.04251938E-03      1.04412091E-03  i
    1500      9.55406214E-04      9.56870913E-04  i
    1550      8.75720247E-04      8.77060316E-04  i
    1600      8.02802015E-04      8.04028476E-04  i
    1650      7.36055250E-04      7.37178076E-04  i
    1700      6.74940007E-04      6.75968236E-04  i
    1750      6.18966632E-04      6.19908465E-04  i
    1800      5.67690606E-04      5.68553493E-04  i
    1850      5.20707899E-04      5.21498614E-04  i
    1900      4.77650936E-04      4.78375644E-04  i
    1950      4.38185010E-04      4.38849328E-04  i
    2000      4.02005106E-04      4.02614154E-04  i
    2050      3.68833066E-04      3.69391516E-04  i
    2100      3.38415066E-04      3.38927181E-04  i
    2150      3.10519351E-04      3.10989025E-04  i
    2200      2.84934206E-04      2.85364998E-04  i
    2250      2.61466133E-04      2.61861295E-04  i
    2300      2.39938206E-04      2.40300713E-04  i
    2350      2.20188594E-04      2.20521167E-04  i
    2400      2.02069214E-04      2.02374345E-04  i
    2450      1.85444528E-04      1.85724496E-04  i
    2500      1.70190440E-04      1.70447332E-04  i
    2550      1.56193301E-04      1.56429030E-04  i
    2600      1.43349006E-04      1.43565324E-04  i
    2650      1.31562173E-04      1.31760685E-04  i
    2700      1.20745392E-04      1.20927569E-04  i
    2750      1.10818547E-04      1.10985737E-04  i
    2800      1.01708192E-04      1.01861633E-04  i
    2850      9.33469918E-05      9.34878164E-05  i
    2900      8.56732087E-05      8.58024566E-05  i
    2950      7.86302061E-05      7.87488307E-05  i
    3000      7.21660555E-05      7.22749312E-05  i
    3100      6.07876891E-05      6.08794070E-05  i
    3200      5.12023163E-05      5.12795824E-05  i
