 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Electron density: Read from file z_053.den   
 #                   Number of data points =  749
 #                   Volume integral = 5.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.80420E-18 cm**2 = 2.07272E-01 a0**2
 # 1st transport cross section = 2.49328E-22 cm**2 = 8.90365E-06 a0**2
 # 2nd transport cross section = 6.90065E-22 cm**2 = 2.46427E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.82402E-13  2.79401E+04  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.82400E-13  2.79400E+04  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  7.82398E-13  2.79400E+04  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  7.82397E-13  2.79399E+04  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  7.82395E-13  2.79398E+04  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  7.82392E-13  2.79397E+04  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  7.82390E-13  2.79396E+04  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  7.82387E-13  2.79395E+04  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  7.82383E-13  2.79394E+04  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  7.82380E-13  2.79393E+04  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  7.82376E-13  2.79392E+04  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  7.82372E-13  2.79390E+04  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  7.82367E-13  2.79388E+04  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  7.82362E-13  2.79387E+04  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  7.82357E-13  2.79385E+04  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  7.82352E-13  2.79383E+04  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  7.82346E-13  2.79381E+04  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  7.82340E-13  2.79379E+04  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  7.82333E-13  2.79376E+04  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  7.82327E-13  2.79374E+04  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  7.82320E-13  2.79371E+04  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  7.82312E-13  2.79369E+04  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  7.82305E-13  2.79366E+04  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  7.82297E-13  2.79363E+04  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  7.82288E-13  2.79360E+04  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  7.82280E-13  2.79357E+04  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  7.82271E-13  2.79354E+04  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  7.82262E-13  2.79351E+04  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  7.82252E-13  2.79347E+04  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  7.82242E-13  2.79344E+04  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  7.82232E-13  2.79340E+04  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  7.82221E-13  2.79336E+04  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  7.82211E-13  2.79333E+04  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  7.82200E-13  2.79329E+04  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  7.82188E-13  2.79324E+04  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  7.82176E-13  2.79320E+04  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  7.82164E-13  2.79316E+04  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  7.82152E-13  2.79312E+04  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  7.82011E-13  2.79261E+04  0.00000E+00  1.0E-07
