 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  53,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.79098E-07  9.79238E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  8.79097E-07  9.79237E-08  6.74062E-13  7.50914E-14
  1.250E-04  1.18994E-12  8.79096E-07  9.79237E-08  8.42577E-13  9.38642E-14
  1.500E-04  1.71346E-12  8.79095E-07  9.79237E-08  1.01109E-12  1.12637E-13
  1.750E-04  2.33225E-12  8.79094E-07  9.79237E-08  1.17960E-12  1.31410E-13
  2.000E-04  3.04617E-12  8.79092E-07  9.79237E-08  1.34812E-12  1.50183E-13
  2.250E-04  3.85530E-12  8.79091E-07  9.79237E-08  1.51663E-12  1.68955E-13
  2.500E-04  4.75964E-12  8.79089E-07  9.79236E-08  1.68514E-12  1.87728E-13
  2.750E-04  5.75917E-12  8.79087E-07  9.79236E-08  1.85365E-12  2.06501E-13
  3.000E-04  6.85391E-12  8.79085E-07  9.79236E-08  2.02216E-12  2.25274E-13
  3.250E-04  8.04379E-12  8.79083E-07  9.79235E-08  2.19067E-12  2.44046E-13
  3.500E-04  9.32893E-12  8.79081E-07  9.79235E-08  2.35917E-12  2.62819E-13
  3.750E-04  1.07092E-11  8.79078E-07  9.79235E-08  2.52768E-12  2.81592E-13
  4.000E-04  1.21847E-11  8.79075E-07  9.79234E-08  2.69618E-12  3.00365E-13
  4.250E-04  1.37554E-11  8.79072E-07  9.79234E-08  2.86468E-12  3.19137E-13
  4.500E-04  1.54213E-11  8.79069E-07  9.79234E-08  3.03318E-12  3.37910E-13
  4.750E-04  1.71823E-11  8.79066E-07  9.79233E-08  3.20168E-12  3.56682E-13
  5.000E-04  1.90386E-11  8.79062E-07  9.79233E-08  3.37018E-12  3.75455E-13
  5.250E-04  2.09900E-11  8.79059E-07  9.79232E-08  3.53867E-12  3.94228E-13
  5.500E-04  2.30367E-11  8.79055E-07  9.79232E-08  3.70717E-12  4.13000E-13
  5.750E-04  2.51785E-11  8.79051E-07  9.79231E-08  3.87566E-12  4.31773E-13
  6.000E-04  2.74156E-11  8.79047E-07  9.79230E-08  4.04414E-12  4.50545E-13
  6.250E-04  2.97478E-11  8.79042E-07  9.79230E-08  4.21263E-12  4.69317E-13
  6.500E-04  3.21752E-11  8.79038E-07  9.79229E-08  4.38111E-12  4.88090E-13
  6.750E-04  3.46979E-11  8.79033E-07  9.79228E-08  4.54959E-12  5.06862E-13
  7.000E-04  3.73157E-11  8.79028E-07  9.79228E-08  4.71807E-12  5.25634E-13
  7.250E-04  4.00286E-11  8.79023E-07  9.79227E-08  4.88654E-12  5.44407E-13
  7.500E-04  4.28368E-11  8.79018E-07  9.79226E-08  5.05501E-12  5.63179E-13
  7.750E-04  4.57402E-11  8.79013E-07  9.79226E-08  5.22348E-12  5.81951E-13
  8.000E-04  4.87388E-11  8.79007E-07  9.79225E-08  5.39195E-12  6.00723E-13
  8.250E-04  5.18325E-11  8.79001E-07  9.79224E-08  5.56041E-12  6.19495E-13
  8.500E-04  5.50215E-11  8.78995E-07  9.79223E-08  5.72887E-12  6.38267E-13
  8.750E-04  5.83057E-11  8.78989E-07  9.79222E-08  5.89732E-12  6.57039E-13
  9.000E-04  6.16850E-11  8.78983E-07  9.79221E-08  6.06577E-12  6.75811E-13
  9.250E-04  6.51595E-11  8.78976E-07  9.79220E-08  6.23422E-12  6.94583E-13
  9.500E-04  6.87293E-11  8.78970E-07  9.79219E-08  6.40266E-12  7.13355E-13
  9.750E-04  7.23943E-11  8.78963E-07  9.79219E-08  6.57110E-12  7.32127E-13
  1.000E-03  7.61544E-11  8.78956E-07  9.79218E-08  6.73954E-12  7.50898E-13
  1.250E-03  1.18991E-10  8.78876E-07  9.79206E-08  8.42366E-12  9.38612E-13
  1.500E-03  1.71347E-10  8.78778E-07  9.79192E-08  1.01073E-11  1.12632E-12
  1.750E-03  2.33223E-10  8.78663E-07  9.79176E-08  1.17903E-11  1.31402E-12
