 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   7,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.81767E-07  4.46285E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.81767E-07  4.46285E-09  1.39373E-13  3.42201E-15
  1.250E-04  1.18994E-12  1.81767E-07  4.46285E-09  1.74216E-13  4.27752E-15
  1.500E-04  1.71346E-12  1.81766E-07  4.46285E-09  2.09059E-13  5.13302E-15
  1.750E-04  2.33225E-12  1.81766E-07  4.46285E-09  2.43902E-13  5.98852E-15
  2.000E-04  3.04617E-12  1.81766E-07  4.46285E-09  2.78745E-13  6.84403E-15
  2.250E-04  3.85530E-12  1.81766E-07  4.46285E-09  3.13588E-13  7.69953E-15
  2.500E-04  4.75964E-12  1.81766E-07  4.46285E-09  3.48430E-13  8.55503E-15
  2.750E-04  5.75917E-12  1.81765E-07  4.46284E-09  3.83273E-13  9.41053E-15
  3.000E-04  6.85391E-12  1.81765E-07  4.46284E-09  4.18115E-13  1.02660E-14
  3.250E-04  8.04379E-12  1.81765E-07  4.46284E-09  4.52957E-13  1.11215E-14
  3.500E-04  9.32893E-12  1.81764E-07  4.46284E-09  4.87799E-13  1.19770E-14
  3.750E-04  1.07092E-11  1.81764E-07  4.46284E-09  5.22641E-13  1.28325E-14
  4.000E-04  1.21847E-11  1.81764E-07  4.46284E-09  5.57483E-13  1.36880E-14
  4.250E-04  1.37554E-11  1.81763E-07  4.46284E-09  5.92324E-13  1.45435E-14
  4.500E-04  1.54213E-11  1.81763E-07  4.46283E-09  6.27165E-13  1.53990E-14
  4.750E-04  1.71823E-11  1.81762E-07  4.46283E-09  6.62006E-13  1.62545E-14
  5.000E-04  1.90386E-11  1.81762E-07  4.46283E-09  6.96846E-13  1.71100E-14
  5.250E-04  2.09900E-11  1.81761E-07  4.46283E-09  7.31687E-13  1.79655E-14
  5.500E-04  2.30367E-11  1.81761E-07  4.46282E-09  7.66527E-13  1.88210E-14
