 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.63499E-07  4.70227E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.63499E-07  4.70227E-09  1.25366E-13  3.60561E-15
  1.250E-04  1.18994E-12  1.63499E-07  4.70227E-09  1.56707E-13  4.50701E-15
  1.500E-04  1.71346E-12  1.63499E-07  4.70227E-09  1.88049E-13  5.40841E-15
  1.750E-04  2.33225E-12  1.63499E-07  4.70227E-09  2.19390E-13  6.30981E-15
  2.000E-04  3.04617E-12  1.63499E-07  4.70227E-09  2.50731E-13  7.21122E-15
  2.250E-04  3.85530E-12  1.63498E-07  4.70227E-09  2.82073E-13  8.11262E-15
  2.500E-04  4.75964E-12  1.63498E-07  4.70227E-09  3.13414E-13  9.01402E-15
  2.750E-04  5.75917E-12  1.63498E-07  4.70226E-09  3.44755E-13  9.91542E-15
  3.000E-04  6.85391E-12  1.63498E-07  4.70226E-09  3.76096E-13  1.08168E-14
  3.250E-04  8.04379E-12  1.63498E-07  4.70226E-09  4.07436E-13  1.17182E-14
  3.500E-04  9.32893E-12  1.63497E-07  4.70226E-09  4.38777E-13  1.26196E-14
  3.750E-04  1.07092E-11  1.63497E-07  4.70226E-09  4.70117E-13  1.35210E-14
  4.000E-04  1.21847E-11  1.63497E-07  4.70226E-09  5.01458E-13  1.44224E-14
  4.250E-04  1.37554E-11  1.63497E-07  4.70226E-09  5.32798E-13  1.53238E-14
  4.500E-04  1.54213E-11  1.63496E-07  4.70225E-09  5.64138E-13  1.62252E-14
  4.750E-04  1.71823E-11  1.63496E-07  4.70225E-09  5.95478E-13  1.71266E-14
  5.000E-04  1.90386E-11  1.63496E-07  4.70225E-09  6.26817E-13  1.80280E-14
  5.250E-04  2.09900E-11  1.63495E-07  4.70225E-09  6.58157E-13  1.89294E-14
  5.500E-04  2.30367E-11  1.63495E-07  4.70225E-09  6.89496E-13  1.98308E-14
  5.750E-04  2.51785E-11  1.63495E-07  4.70225E-09  7.20835E-13  2.07321E-14
  6.000E-04  2.74156E-11  1.63494E-07  4.70224E-09  7.52174E-13  2.16335E-14
  6.250E-04  2.97478E-11  1.63494E-07  4.70224E-09  7.83513E-13  2.25349E-14
  6.500E-04  3.21752E-11  1.63493E-07  4.70224E-09  8.14851E-13  2.34363E-14
  6.750E-04  3.46979E-11  1.63493E-07  4.70224E-09  8.46189E-13  2.43377E-14
  7.000E-04  3.73157E-11  1.63492E-07  4.70223E-09  8.77527E-13  2.52391E-14
  7.250E-04  4.00286E-11  1.63492E-07  4.70223E-09  9.08864E-13  2.61405E-14
  7.500E-04  4.28368E-11  1.63491E-07  4.70223E-09  9.40201E-13  2.70418E-14
  7.750E-04  4.57402E-11  1.63491E-07  4.70223E-09  9.71538E-13  2.79432E-14
  8.000E-04  4.87388E-11  1.63490E-07  4.70222E-09  1.00287E-12  2.88446E-14
  8.250E-04  5.18325E-11  1.63490E-07  4.70222E-09  1.03421E-12  2.97460E-14
  8.500E-04  5.50215E-11  1.63489E-07  4.70222E-09  1.06555E-12  3.06473E-14
  8.750E-04  5.83057E-11  1.63489E-07  4.70221E-09  1.09688E-12  3.15487E-14
  9.000E-04  6.16850E-11  1.63488E-07  4.70221E-09  1.12822E-12  3.24501E-14
  9.250E-04  6.51595E-11  1.63487E-07  4.70221E-09  1.15955E-12  3.33514E-14
  9.500E-04  6.87293E-11  1.63487E-07  4.70220E-09  1.19089E-12  3.42528E-14
